"Datum";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse"
;" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse"
;" Schwefeldioxid";" Kohlenmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10";" Lufttemperatur";" Luftfeuchte relativ";" Luftdruck";" Windgeschwindigkeit skalar";" Globalstrahlung";" Regendauer";" Schwefeldioxid";" Kohlenmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10"
;" SO2";" CO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10";" T";" Hr";" p";" WVs";" StrGlo";" RainDur";" SO2";" CO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10"
;" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1"
;" µg/m3";" mg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";" °C";" %Hr";" hPa";" m/s";" W/m2";" min";" µg/m3";" mg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";"1";" ppb";" µg/m3";" µg/m3"
"01.01.2012";1.78;0.31;43.46;0;26.54;7.83;18.04;8.12;86.9;968.65;2.01;39.61;95.6;2.98;0.31;48.28;0;25.47;10.4;17.67;43.75;0;12.7;1.62;"NaN";"NaN";"NaN";"NaN";"NaN"
"02.01.2012";1.64;0.24;53.56;0;17.87;3.51;5.34;6.96;83.94;965.34;2.5;12.59;397.1;2.74;0.26;61.33;0;21.63;8.13;5.7;54.2;0;10.06;1.29;"NaN";"NaN";"NaN";"NaN";"NaN"
"03.01.2012";1.4;0.24;66.05;0;19.62;5.85;6.92;6.29;67.19;972.62;2.85;63.38;71.47;2.48;0.29;63.61;0;26.86;14.54;8.85;65.26;0;11.29;1.45;"NaN";"NaN";"NaN";"NaN";"NaN"
"04.01.2012";1.11;0.22;67.55;0;13.25;2.59;7.49;6.07;68.98;970.64;3.96;43.04;400.9;2.16;0.24;64.87;0;18.96;8.85;6.57;66.46;0;8.77;1.11;"NaN";"NaN";"NaN";"NaN";"NaN"
"05.01.2012";0.9;0.2;71.45;0;10.11;2.23;4.92;5.02;75.59;957.33;5.85;11.24;748.32;1.72;0.23;70.08;0;15.4;7.93;4.04;71.11;0;7.5;0.91;"NaN";"NaN";"NaN";"NaN";"NaN"
"06.01.2012";1.1;0.24;65.08;0;17.67;3.2;7.11;3;82.45;967.72;2.56;18.64;411.73;2.99;0.33;63.29;0;32.1;21.83;7.74;62.47;0;14.21;1.95;"NaN";"NaN";"NaN";"NaN";"NaN"
"07.01.2012";1.15;0.24;55.74;0;13.24;2.36;7.42;3.43;76.75;973.11;3.06;11.5;321.2;2.33;0.24;56.74;0;14.72;5.25;6.63;57.24;0;9.59;1.1;"NaN";"NaN";"NaN";"NaN";"NaN"
"08.01.2012";1.26;0.23;54.91;0;13.93;2.35;8.47;4.66;82.81;972.74;1.95;13.15;445.95;2.9;0.31;56.16;0;24.26;10.81;9.44;55.75;0;10.93;1.28;"NaN";"NaN";"NaN";"NaN";"NaN"
"09.01.2012";1.59;0.33;48.52;0;30.9;15.42;14.64;4.81;78.07;979.16;1.7;29.2;67.7;3.82;0.35;41.57;0;38.55;20.91;11.21;44.17;0;20.23;3.08;"NaN";"NaN";"NaN";"NaN";"NaN"
"10.01.2012";2.28;0.54;45.46;0;46.11;43.53;18.86;5.31;82.43;982.48;1.37;35.48;96.75;5.58;0.52;41.63;0;52.2;45.51;17.36;45.78;0;24.73;4.04;"NaN";"NaN";"NaN";"NaN";"NaN"
"11.01.2012";1.57;0.46;25.54;0;39.41;23.96;18.55;2.61;87.18;983.23;1.09;15.96;0;2.83;0.48;21.86;0;45.97;39.18;19.77;26.51;0;25.36;3.3;"NaN";"NaN";"NaN";"NaN";"NaN"
"12.01.2012";1.45;0.36;33.12;0;31.55;14.96;23.99;2;82.68;978.69;1.42;52.08;0;3.22;0.4;26.49;0;38.41;27.79;24.12;30.73;0;24.86;4.15;"NaN";"NaN";"NaN";"NaN";"NaN"
"13.01.2012";2.36;0.45;37.84;0;42.94;25.18;20.1;3.21;80.61;976.47;1.13;52.57;157.3;4.67;0.59;31.96;0;58.8;69.23;24.53;41.44;0;27.84;3.76;"NaN";"NaN";"NaN";"NaN";"NaN"
"14.01.2012";3.94;0.57;52.38;0;47.62;41.78;23.08;0.37;74.7;974.41;1.7;95.08;0;6.72;0.61;51.77;0;51.21;62.63;24.52;61.56;0;23.14;3.24;"NaN";"NaN";"NaN";"NaN";"NaN"
"15.01.2012";3.19;0.36;56.31;0;27.82;8.23;14.58;-0.35;67.37;970.64;2.22;83.49;0;3.11;0.4;53.27;0;35.39;17.47;18.04;57.27;0;15.75;1.39;"NaN";"NaN";"NaN";"NaN";"NaN"
"16.01.2012";3.14;0.49;38.51;0;45.21;34;19.71;-1.11;66.81;971.73;1.72;82.47;0;3.31;0.48;36.18;0;49.26;43.58;19.86;45.21;0;24.49;3.16;"NaN";"NaN";"NaN";"NaN";"NaN"
"17.01.2012";6.07;0.77;25.09;0;67.34;85.47;41.36;-0.82;71.48;977.65;0.96;80.28;0;9.7;0.81;17.25;0;72.6;111.26;40.51;32.33;0;45.42;12.14;"NaN";"NaN";"NaN";"NaN";"NaN"
"18.01.2012";8.33;1.01;10.56;0;82.65;127.78;57.9;0.49;73.39;979.94;0.87;85.08;0;11.7;1.14;5.93;0;92.21;179.45;60.11;25.07;0;64.85;42.39;"NaN";"NaN";"NaN";"NaN";"NaN"
"19.01.2012";5.67;0.36;52.74;0;38.42;17.35;20.91;6.63;66.85;975.4;3.31;15.18;324.95;5.68;0.4;55.69;0;39.45;34;18.48;59.22;0;26.96;4.3;"NaN";"NaN";"NaN";"NaN";"NaN"
"20.01.2012";1.88;0.2;64.93;0;14.97;2.64;6.68;5.34;80.18;968.42;4.74;37.1;810.85;1.95;0.24;64.95;0;19.92;10.93;4.01;65.87;0;10.11;1.35;"NaN";"NaN";"NaN";"NaN";"NaN"
"21.01.2012";1.36;0.21;60.54;0;11.27;1.57;2.79;6.21;82.54;966.5;4.85;19.56;691.18;1.74;0.22;61.26;0;13.8;5.12;5.01;61.6;0;7.61;0.96;"NaN";"NaN";"NaN";"NaN";"NaN"
"22.01.2012";1.49;0.19;70.25;0;7.65;1.17;2.22;7.66;73.67;965.19;4.26;46.11;255.23;2.15;0.22;68.33;0;12.92;4.78;3.42;68.17;0;6.14;0.94;"NaN";"NaN";"NaN";"NaN";"NaN"
"23.01.2012";1.57;0.25;64.62;0;24.02;5.19;9.67;6.62;73.05;967.53;2.41;22.83;272.55;3.26;0.34;64.37;0;35.33;22.99;7.56;64.53;0;17.01;2.32;"NaN";"NaN";"NaN";"NaN";"NaN"
"24.01.2012";1.72;0.32;57.22;0;34.77;12.89;11.8;4.25;77.38;969.9;1.83;62.57;373.22;3.5;0.36;57.18;0;44.8;29.32;10.7;58.26;0;21.89;2.32;"NaN";"NaN";"NaN";"NaN";"NaN"
"25.01.2012";1.8;0.4;50.72;0;45.26;24.4;13.55;3.04;86.14;969.76;1.14;19.03;564.17;2.99;0.32;50.65;0;40.25;14.52;9.72;57.46;0;22.73;1.7;"NaN";"NaN";"NaN";"NaN";"NaN"
"26.01.2012";2.25;0.51;20.39;0;44.96;36.6;30.08;3.15;81.19;967.56;2.02;23.28;0.77;3.59;0.58;22.95;0;55.16;70.78;32.9;28.95;0;38.13;13.99;"NaN";"NaN";"NaN";"NaN";"NaN"
"27.01.2012";2.36;0.54;28.99;0;46.77;50.93;20.71;4.11;89.39;971.04;1.38;13.82;1121.32;3.07;0.55;26.78;0;54.25;64.37;18.22;45.68;0;32.58;10.03;"NaN";"NaN";"NaN";"NaN";"NaN"
"28.01.2012";2.01;0.36;48.03;0;34.86;12.53;8.48;2.12;90.22;972.97;1.65;32.79;833.02;2.53;0.42;47.65;0;44.04;26.83;10.16;61.76;0;14.3;1.4;"NaN";"NaN";"NaN";"NaN";"NaN"
"29.01.2012";1.95;0.47;43.51;0;22.09;8.41;32.9;0.72;83.28;969.99;3.4;20.62;0.02;2.55;0.5;46.91;0;27.68;14.62;31.36;53.11;0;19.14;1.92;"NaN";"NaN";"NaN";"NaN";"NaN"
"30.01.2012";2.77;0.63;34.5;0;48.18;35.21;46.1;0.32;81;970.89;1.23;13.65;407.72;3.22;0.66;31.5;0;55.54;58.41;47.3;39.67;0;31.25;3.41;"NaN";"NaN";"NaN";"NaN";"NaN"
"31.01.2012";2.38;0.51;38.02;0;43.91;25.17;34.32;-1.01;83.95;966.03;2.29;12.34;198.05;2.9;0.55;36.61;0;48;38.58;34.05;43.51;0;30.75;4.22;"NaN";"NaN";"NaN";"NaN";"NaN"
"01.02.2012";3.33;0.48;52.45;0;38.02;15.35;38.22;-4.3;71.18;966.78;2.91;40.64;9.32;4.13;0.49;50.54;0;43.14;26.08;36.01;59.69;0;24.25;2.06;"NaN";"NaN";"NaN";"NaN";"NaN"
"02.02.2012";5.32;0.49;53.3;0;34.6;13.95;37.43;-7.21;77.66;968.15;3.77;58.38;14.6;7.52;0.48;52.15;0;39.78;22.37;33.97;56.08;0;23.38;2.18;"NaN";"NaN";"NaN";"NaN";"NaN"
"03.02.2012";5.88;0.48;48.91;0;41.98;20.87;29.29;-9.84;66.07;975.15;2.43;98.29;0;6.47;0.49;46.18;0;46.14;31.26;" NaN";55;0;24.52;2.47;"NaN";"NaN";"NaN";"NaN";"NaN"
"04.02.2012";7.01;0.47;59.98;0;39.32;13.07;34.56;-10.56;64.18;978.84;2.07;101.07;0;7.58;0.47;55.03;0;43.35;20.7;" NaN";67.13;0;23.08;2.95;"NaN";"NaN";"NaN";"NaN";"NaN"
"05.02.2012";6.27;0.5;50.39;0;40;11.35;46.56;-10.5;74.63;976.35;1.81;111.75;0.62;6.35;0.52;48.36;0;42.37;17.25;" NaN";58.97;0;25.77;2.79;"NaN";"NaN";"NaN";"NaN";"NaN"
"06.02.2012";5.92;0.61;44.53;0;49.64;25.67;44.85;-10.93;74.77;977;2.12;105.7;0;5.81;0.62;42.77;0;57.43;52.23;" NaN";57.37;0;28.31;4.68;"NaN";"NaN";"NaN";"NaN";"NaN"
"07.02.2012";6.77;0.55;38.79;0;43.05;18.21;42.74;-10.64;76.18;975.48;2.82;58.4;1.3;7.82;0.55;38.66;0;49.45;30.55;44.61;47.73;0;29.86;2.83;"NaN";"NaN";"NaN";"NaN";"NaN"
"08.02.2012";10.02;0.67;37.67;0;43.81;18.64;67.19;-7.95;74.11;977.12;2.87;81.86;2;10.76;0.67;35.85;0;50.37;32.21;71.54;53.69;0;31.71;3.31;"NaN";"NaN";"NaN";"NaN";"NaN"
"09.02.2012";10.67;0.8;33.54;0;67.07;37.25;90.55;-6.73;77.36;978.36;1.4;77.77;56.38;11.47;0.88;21.96;0;78.41;78.83;109.14;36.09;0;48.13;11.39;"NaN";"NaN";"NaN";"NaN";"NaN"
"10.02.2012";7.56;0.54;55.92;0;45.15;19.47;46.84;-7.25;78.79;977.68;2.46;58.54;66.03;8.68;0.55;53.68;0;49.18;29.13;50.09;62.27;0;32.26;3.64;"NaN";"NaN";"NaN";"NaN";"NaN"
"11.02.2012";8.88;0.47;65.48;0;28.6;6.71;49.03;-8.5;73.9;973.58;2.92;67.89;28.53;9.23;0.5;64.91;0;34.19;12.74;50.59;72.92;0;19.5;1.35;"NaN";"NaN";"NaN";"NaN";"NaN"
"12.02.2012";10.49;0.54;76.77;0;40.61;7.15;58.08;-9.28;71.67;974.88;2.3;104.53;0;10.98;0.59;74.54;0;48.6;14.39;62.56;85.83;0;22.24;1.74;"NaN";"NaN";"NaN";"NaN";"NaN"
"13.02.2012";10.83;0.77;48.6;0;77.73;40.91;77.72;-7.34;77.53;972.18;1.02;51.39;84.48;11.16;0.85;40.7;0;88.18;76.04;89.4;75.73;0;49.93;12.3;"NaN";"NaN";"NaN";"NaN";"NaN"
"14.02.2012";6.32;0.5;44.02;0;58.22;17.29;42.29;-1.52;78.18;966.36;1.12;58.41;493.3;7.14;0.61;39.48;0;70.41;45.78;43.33;53.18;0;36.87;4.59;"NaN";"NaN";"NaN";"NaN";"NaN"
"15.02.2012";2.56;0.27;52.42;0;26.78;3.71;10.36;1.24;87.16;965.29;3.22;12.79;1006.75;3.15;0.31;55.74;0;28.04;11.7;7.87;54.34;0;18.91;2.16;"NaN";"NaN";"NaN";"NaN";"NaN"
"16.02.2012";3.64;0.48;49.74;0;53.43;32.37;13.38;2.32;80.14;972.42;0.9;64.18;44.33;4.58;0.53;45.59;0;69.55;66.57;16.85;64.44;0;26.59;3.49;"NaN";"NaN";"NaN";"NaN";"NaN"
"17.02.2012";4.47;0.46;53.58;0;56.44;27.55;24.76;2.31;74.31;974.7;1.2;76.86;0;6.68;0.46;54.59;0;62.6;35.57;21.84;64.62;0;26.28;3.8;"NaN";"NaN";"NaN";"NaN";"NaN"
"18.02.2012";4.5;0.42;56.45;0;46.13;11.85;27.24;3.49;72.07;969.5;1.34;127.16;0;5.51;0.5;52.23;0;56.35;24.2;26.88;68.69;0;24.19;3.08;"NaN";"NaN";"NaN";"NaN";"NaN"
"19.02.2012";2.88;0.32;64.8;0;31.69;4.7;15.06;3.35;81.55;968.7;1.61;35.18;512.03;3.73;0.39;58.52;0;39.56;12.88;14.39;63.97;0;17.82;1.51;"NaN";"NaN";"NaN";"NaN";"NaN"
"20.02.2012";3.25;0.38;63.13;0;35.79;15.02;15.09;1.16;65.58;978.84;2.23;120.7;0;3.43;0.38;59.69;0;45.64;31.41;19.96;76.02;0;12.92;1.52;"NaN";"NaN";"NaN";"NaN";"NaN"
"21.02.2012";4.92;0.57;49.01;0;64.57;43.11;35.6;-0.01;67.72;979.68;1;119.7;0;6.69;0.56;44.98;0;71.8;61.76;35.53;56.67;0;30.25;7.82;"NaN";"NaN";"NaN";"NaN";"NaN"
"22.02.2012";4.63;0.71;27.33;0;73.57;43.44;53.51;1.08;69.35;978.22;1.41;142.74;0;6.72;0.75;26.03;0;83.56;84.82;59.32;53.83;0;44.86;8.76;"NaN";"NaN";"NaN";"NaN";"NaN"
"23.02.2012";5.65;0.67;9.83;0;80.28;47.77;55.14;3.67;66.52;976.74;0.92;45.54;0;8.26;0.65;17.38;0;84.19;60.21;51.28;56.12;0;51.79;8.36;"NaN";"NaN";"NaN";"NaN";"NaN"
"24.02.2012";6.47;0.75;25.94;0;78.83;67.09;46.93;7.5;64.66;977.29;0.78;145.16;0;8.12;0.71;23.78;0;82.53;77.41;45.06;52.5;0;49.12;9.58;"NaN";"NaN";"NaN";"NaN";"NaN"
"25.02.2012";2.69;0.42;22.99;0;37.49;17.8;24.6;6.82;86.19;973.67;0.99;35.9;38.95;3.59;0.53;20.24;0;46.37;38.84;27.22;29.01;0;28.9;5.07;"NaN";"NaN";"NaN";"NaN";"NaN"
"26.02.2012";2.72;0.37;62.23;0;31.62;11.41;27.2;5.75;73.2;972.84;1.68;50.19;258.97;2.99;0.42;58.48;0;36.76;16.4;26.57;70.03;0;19.16;2.2;"NaN";"NaN";"NaN";"NaN";"NaN"
"27.02.2012";3.62;0.53;54.48;0;52.87;35.58;26.18;5.01;67.24;975;1.41;156.08;29.68;5.14;0.57;48.44;0;67.05;64.27;31.33;74.81;0;18.08;4.41;"NaN";"NaN";"NaN";"NaN";"NaN"
"28.02.2012";4.54;0.62;50.19;0;66.69;48.11;35.22;5.73;61.85;974.53;0.97;144.57;0;6.98;0.57;33.53;0;72.98;54.96;31.95;71.93;0;25.53;3.84;"NaN";"NaN";"NaN";"NaN";"NaN"
"29.02.2012";5.06;0.59;55.5;0;60.2;47.93;24.11;8.48;64.72;973.01;1.7;156.82;0;5.53;0.68;50.59;0;71.42;88.61;35.91;80.65;0;21.87;6.56;"NaN";"NaN";"NaN";"NaN";"NaN"
"01.03.2012";3.37;0.6;20.69;0;52.44;49.86;36.47;8.9;77.27;972.66;1.14;141.97;0;3.36;0.62;17.19;0;61.26;68.32;40.21;39.66;0;29.54;8.02;"NaN";"NaN";"NaN";"NaN";"NaN"
"02.03.2012";4.54;0.83;53.08;0;74.08;75.93;50.7;10.42;64.1;973.58;0.84;157.9;0;5.95;0.77;21.42;0;81.7;89.06;51.88;83.68;0;30.82;4.65;"NaN";"NaN";"NaN";"NaN";"NaN"
"03.03.2012";4.23;0.57;79.38;0;48.86;29.72;37.41;10.57;59.12;972.02;0.97;146.26;0.43;5.27;0.65;72.97;0;61.5;55.63;39.24;89.99;0;27.93;6.13;"NaN";"NaN";"NaN";"NaN";"NaN"
"04.03.2012";3.09;0.48;49.35;0;36.15;11.97;47.02;8.38;72.06;969.37;0.96;89.36;0;3.3;0.52;49.51;0;43.1;18.72;49;66.39;0;21.82;2.01;"NaN";"NaN";"NaN";"NaN";"NaN"
"05.03.2012";2.15;0.3;69.71;0;26.56;7.23;21.52;5.19;58.64;969.73;2.66;72.39;196.72;3.06;0.33;65.31;0;32.73;14.66;19.39;75.8;0;18.23;1.69;"NaN";"NaN";"NaN";"NaN";"NaN"
"06.03.2012";2.72;0.37;67.47;0;36.59;24.35;15.22;4.34;54.57;971.91;1.93;124.9;0;3.25;0.37;65.47;0;45.09;25.79;14.51;84.81;0;14.17;1.91;"NaN";"NaN";"NaN";"NaN";"NaN"
"07.03.2012";2.88;0.36;66.49;0;35.97;16.47;26.7;5.64;58.74;972.14;1.8;160.91;4.55;4.13;0.42;50.68;0;45.47;27.67;26.14;69.23;0;21.96;3.2;"NaN";"NaN";"NaN";"NaN";"NaN"
"08.03.2012";2.03;0.33;82.58;0;32.02;11.29;13.25;5.12;71.66;974.81;1.87;64.07;317.3;2.39;0.43;73.58;0;51.34;37.7;14.87;44.2;0;18.02;2.41;"NaN";"NaN";"NaN";"NaN";"NaN"
"09.03.2012";3.44;0.48;67.21;0;51.44;30.26;20.58;4.27;63.12;983.8;1.94;185.15;0;3.78;0.52;59.29;0;63.76;50.54;27.66;52.93;0;18.32;3.58;"NaN";"NaN";"NaN";"NaN";"NaN"
"10.03.2012";5.06;0.46;78.62;0;53.01;22.82;20.64;5.22;51.64;983.11;1.19;174.23;0;6.28;0.54;69.6;0;62.89;39.56;27.64;53.59;0;16.64;2.53;"NaN";"NaN";"NaN";"NaN";"NaN"
"11.03.2012";5;0.44;51.78;0;44.6;14.15;23.11;5.9;64.32;980.72;1.3;58.04;27.68;4.97;0.49;48.15;0;50.06;19.82;26.4;42.51;0;20.78;2.1;"NaN";"NaN";"NaN";"NaN";"NaN"
"12.03.2012";3.66;0.5;67.14;0;49.32;28.91;25.47;8.72;65.83;978.95;1.12;172.96;0;4.08;0.53;58.13;0;61.68;47.89;28.29;46.53;0;16.35;2.69;"NaN";"NaN";"NaN";"NaN";"NaN"
"13.03.2012";3.56;0.45;54.17;0;44.85;26.86;28.76;10.12;62.58;978.1;1.93;192.38;0;3.3;0.51;50.21;0;59.49;50.18;34.97;45.6;0;17.09;2.74;"NaN";"NaN";"NaN";"NaN";"NaN"
"14.03.2012";3.49;0.58;38.4;0;53.64;41.43;40.53;9.06;67.02;977.37;1.62;197.55;0;3.36;0.61;33.34;0;62.2;63.47;48.48;41.05;0;26.96;4.95;"NaN";"NaN";"NaN";"NaN";"NaN"
"15.03.2012";4.64;0.73;41.47;0;73.9;63.11;43.97;10.78;57.09;976.73;0.8;199.18;0;5.91;0.72;35.2;0;81.99;86.51;45.84;51.64;0;37.3;9.81;"NaN";"NaN";"NaN";"NaN";"NaN"
"16.03.2012";4.38;0.54;80.64;0;63.69;36.98;34.32;12.4;46.13;973.56;1.28;202.55;0;5.4;0.54;57.58;0;75.4;44.2;34.73;89.81;0;21.42;3.6;"NaN";"NaN";"NaN";"NaN";"NaN"
"17.03.2012";4.35;0.42;106.78;0;47.66;15.49;31.67;12.35;47.34;969.33;1.43;157.6;29.12;4.38;0.46;92.47;0;56.29;21.77;30.32;97.29;0;10.16;1.16;"NaN";"NaN";"NaN";"NaN";"NaN"
"18.03.2012";3.17;0.36;88.81;0;32.64;8.71;19.4;8.27;71.2;967.76;1.65;97.44;440.83;3.28;0.41;83.42;0;40.15;13.28;19.83;84.81;0;8.87;1.07;"NaN";"NaN";"NaN";"NaN";"NaN"
"19.03.2012";1.66;0.37;71.49;0;43.23;19.41;7.48;5.5;88.52;975.63;1.22;34.77;1096.4;1.75;0.46;70.39;0;55.06;42.39;13.49;62.18;0;15.79;1.51;"NaN";"NaN";"NaN";"NaN";"NaN"
"20.03.2012";2.23;0.42;48.2;0;40.48;21.31;23.28;7.91;74.2;981.1;1.21;171.35;2.97;2.51;0.49;" NaN";" NaN";48.69;37.24;27.12;58.36;0;24.98;3.68;"NaN";"NaN";"NaN";"NaN";"NaN"
"21.03.2012";3.45;0.56;60.65;0;57.85;36.63;25.9;9.73;62.85;980.4;1.41;205.05;0;3.75;0.62;" NaN";" NaN";65.34;70.56;36.32;74.09;0;22.16;4.14;"NaN";"NaN";"NaN";"NaN";"NaN"
"22.03.2012";4.04;0.54;69.03;0;57.5;32.05;" NaN";11.67;57.15;975.89;1.32;213.17;0;4.4;0.58;67.48;0;67.85;56.23;" NaN";79.92;0;19.6;3.36;"NaN";"NaN";"NaN";"NaN";"NaN"
"23.03.2012";4.32;0.62;89.14;0;66.27;43.46;" NaN";12.56;57.12;973.56;0.74;205.3;0;4.97;0.66;76.59;0;78.23;64.58;46.28;100.21;0;27.05;7.51;"NaN";"NaN";"NaN";"NaN";"NaN"
"24.03.2012";4.02;0.46;99.26;0;48.01;16.58;36.77;12.67;55.47;973.24;1.15;191.82;1.05;4.75;0.56;97.82;0;61.18;29.6;41.39;107.21;0;15.71;2.32;"NaN";"NaN";"NaN";"NaN";"NaN"
"25.03.2012";3.06;0.36;101.33;0;31.63;8.31;28.11;12.85;55.44;976.14;2.01;201.3;0;3.23;0.41;103.62;0;39.14;13.42;30.78;103.71;0;11.47;1.14;"NaN";"NaN";"NaN";"NaN";"NaN"
"26.03.2012";3.25;0.39;88.05;0;43.5;23.28;22.88;13.26;45.97;978.51;2.27;226.44;0;3.09;0.44;84.26;0;55.25;37.16;27.91;100.6;0;12.71;2.17;"NaN";"NaN";"NaN";"NaN";"NaN"
"27.03.2012";3.9;0.41;82.79;0;47.78;26.14;21.02;12.72;41.18;978.95;1.99;225.78;0;4.13;0.47;81.82;0;64.79;42.91;26.78;95.47;0;14.74;2.37;"NaN";"NaN";"NaN";"NaN";"NaN"
"28.03.2012";4.55;0.48;93.66;0;56.26;26.46;27.51;13.82;42.41;975.59;1.52;229.64;0;4.5;0.51;79.41;0;72.13;41.72;32.1;107.12;0;16.81;2.27;"NaN";"NaN";"NaN";"NaN";"NaN"
"29.03.2012";4.12;0.43;95.36;0;49.53;29.32;33.58;14.11;47.68;970.82;1.13;199.49;0;4.19;0.56;88.24;0;64.02;49.81;37.96;97.61;0;26.51;8.6;"NaN";"NaN";"NaN";"NaN";"NaN"
"30.03.2012";3.37;0.28;81.67;0;30.79;7.34;20.7;13.14;50.28;968.03;1.63;121.91;29.85;3.16;0.5;76.81;0;53.22;37.33;23.39;89.82;0;16.51;1.75;"NaN";"NaN";"NaN";"NaN";"NaN"
"31.03.2012";2.95;0.28;99.96;0;25.29;7.53;19.08;12.66;54.98;962.14;1.79;231.44;0;2.85;0.4;96.02;0;34.11;17.96;20.84;99.52;0;12.99;1.39;"NaN";"NaN";"NaN";"NaN";"NaN"
"01.04.2012";2.48;0.25;96.53;0;15.06;4.85;13.28;8.9;45.12;963.14;2.5;240.04;0;2.27;0.33;95.6;0;23.05;8.52;14.52;98.96;0;5.02;0.7;"NaN";"NaN";"NaN";"NaN";"NaN"
"02.04.2012";4.27;0.44;85.41;0;52.27;23.68;23.82;10.76;43.99;958.46;1.57;236.36;0;4.32;0.52;95.63;0;61.99;40.43;25.62;95.83;0;17.51;3.34;"NaN";"NaN";"NaN";"NaN";"NaN"
"03.04.2012";2.87;0.36;79.89;0;48.15;14.43;24.43;13.3;63.21;954.77;1.56;147.81;286.35;2.83;0.4;84.57;0;47.83;19.47;24.05;95.67;0;13.97;1.38;"NaN";"NaN";"NaN";"NaN";"NaN"
"04.04.2012";1.88;0.37;82.06;0;40.05;17.57;12.12;11.02;81.27;957.29;1.14;63.1;359.15;1.69;0.44;81.6;0;54.88;36.37;15.07;79.06;0;17.21;2.18;"NaN";"NaN";"NaN";"NaN";"NaN"
"05.04.2012";1.87;0.41;52.35;0;42.1;23.86;" NaN";9.63;89.55;959.39;1.88;36.05;587.88;1.27;0.56;44.95;0;57.1;66.05;19.46;55.51;0;19.86;2.21;"NaN";"NaN";"NaN";"NaN";"NaN"
"06.04.2012";2.03;0.38;44.21;0;26.95;9.68;" NaN";9.9;81.04;958.75;1.28;86.45;15.8;1.82;0.47;43.26;0;29.36;17.26;13.73;48.26;0;16.51;2.73;"NaN";"NaN";"NaN";"NaN";"NaN"
"07.04.2012";2;0.38;65.71;0;29.91;8.6;" NaN";8.97;78.92;954.99;1.23;64.82;207.45;2.02;0.47;63.79;0;35.92;23.35;27.15;71.13;0;17.98;2.08;"NaN";"NaN";"NaN";"NaN";"NaN"
