"ABKUERZUNG";"BEZEICHNUN";"BIS";"FK_ZAEHLER";"RICHTUNG_I";"RICHTUNG_O";"VON";"Easting";"Northing"
"VZS_ANDR";"Andreasstrasse";;"ECO09113502";"Oerlikon";"Wallisellen";2010-12-16T00:00:00;684577;251967
"VZS_SIHL";"Sihlpromenade";;"ECO09113503";"Innenstadt";"Saalsporthalle";2010-07-14T00:00:00;682374;247055
"VZS_BERT";"Bertastrasse";;"ECO09113506";"Wiedikon";"Aussersihl";2010-07-26T00:00:00;681384;247736
"FZS_KLOE";"Kloster-Fahr-Weg (Europabrücke)";;"ECO10013684";"Werdinsel";"Innenstadt";2010-06-26T00:00:00;680048;250304
"FZS_LETL";"Lettenviadukt (Limmatstr.)";20151001;"U15G3063869";"Limmat";"Gleisanlagen";2015-03-31T00:00:00;682170;249124
"FZS_MYTH";"Mythenquai Unterführung";20150430;"U15G3104443";"Seeufer";"Bhf. Wollishofen";2013-11-28T00:00:00;682812;245490
"FZS_ARBO";"Arboretum";20150908;"U15G3104446";"Stadtgrenze";"Innenstadt";2015-03-10T00:00:00;682972;246329
"VZS_FISC";"Fischerweg";;"Y0410090357";"Innenstadt";"Stadtgrenze";2010-07-09T00:00:00;678955;250443
"VZS_LIMC";"Limmatquai, Ri. Central";;"Y2G14045587";"Central";"---";2014-06-25T00:00:00;683456;247065
"FZS_HARD";"Hardeggsteg";20160331;"U15G4025180";"Kloster-Fahr-Weg";"Hardturmstrasse";2015-10-01T00:00:00;680438;249930
"FZS_ALTO";"Altstetterstrasse Ost";;"U15G3063866";"Bhf. Altstetten";"Lindenplatz";2015-10-01T00:00:00;679189;249436
"FZS_OHMW";"Ohmstrasse West";;"U15G3063865";"Bhf. Oerlikon";"Sternen Oerlikon";1899-12-30T00:00:00;683559;251682
"FZS_OHMO";"Ohmstrasse Ost";;"U15G3104447";"Bhf. Oerlikon";"Sternen Oerlikon";2016-04-01T00:00:00;683572;251687
"FZS_KATZ";"Katzenbach";;"U15G3104442";"Affoltern";"Seebach";2016-04-01T00:00:00;681401;253280
